3,2030,0
2,2034,1
1,2042,2
3,2042,2
0,2042,3
1,2042,3
2,2042,3
3,2045,0
2,2049,1
3,2049,1
1,2056,2
3,2056,2
0,2056,3
1,2056,3
3,2060,0
2,2064,1
3,2064,1
1,2071,2
3,2071,2
0,2071,3
1,2071,3
3,2075,0
2,2079,1
3,2079,1
3,2086,2
0,2086,3
1,2086,3
2,2086,3
3,2091,0
3,2095,1
1,2101,2
0,2101,3
2,2101,3
3,2105,0
2,2109,1
3,2109,1
3,2117,2
0,2117,3
1,2117,3
2,2117,3
2,2124,1
3,2124,1
1,2131,2
3,2131,2
0,2131,3
1,2131,3
2,2131,3
2,2140,1
3,2140,1
1,2146,2
3,2146,2
0,2146,3
1,2146,3
2,2146,3
3,2150,0
2,2154,1
1,2162,2
1,2162,3
2,2162,3
3,2169,1
3,2176,2
1,2176,3
2,2176,3
3,2180,0
2,2184,1
3,2184,1
0,2191,3
1,2191,3
2,2191,3
3,2195,0
2,2199,1
3,2199,1
1,2206,2
3,2206,2
0,2206,3
1,2206,3
2,2206,3
3,2210,0
2,2215,1
3,2215,1
1,2221,2
3,2221,2
0,2221,3
1,2221,3
2,2221,3
3,2225,0
2,2229,1
3,2229,1
1,2237,2
1,2237,3
2,2237,3
3,2241,0
3,2244,1
1,2251,2
3,2251,2
0,2251,3
2,2251,3
3,2255,0
3,2259,1
1,2266,2
3,2266,2
2,2266,3
3,2270,0
2,2274,1
3,2274,1
1,2281,2
3,2281,2
0,2281,3
1,2281,3
2,2281,3
3,2286,0
2,2290,1
3,2290,1
1,2296,2
3,2296,2
0,2296,3
1,2296,3
2,2296,3
3,2300,0
2,2304,1
3,2304,1
1,2312,2
3,2312,2
0,2312,3
1,2312,3
2,2312,3
3,2315,0
2,2319,1
3,2319,1
1,2326,2
0,2326,3
1,2326,3
3,2330,0
2,2334,1
1,2341,2
3,2341,2
1,2341,3
2,2341,3
3,2345,0
3,2349,1
1,2357,2
3,2357,2
0,2357,3
1,2357,3
2,2357,3
3,2361,0
2,2365,1
3,2365,1
1,2371,2
3,2371,2
0,2371,3
1,2371,3
2,2371,3
3,2375,0
2,2379,1
3,2379,1
1,2386,2
3,2386,2
0,2386,3
1,2386,3
2,2386,3
3,2390,0
2,2394,1
3,2394,1
3,2401,2
0,2401,3
1,2401,3
3,2405,0
2,2410,1
3,2410,1
1,2416,2
3,2416,2
0,2416,3
1,2416,3
2,2416,3
3,2420,0
3,2424,1
1,2432,2
3,2432,2
0,2432,3
2,2432,3
3,2436,0
1,2446,2
3,2446,2
0,2446,3
1,2446,3
3,2450,0
2,2454,1
3,2461,2
0,2461,3
1,2461,3
3,2465,0
2,2469,1
3,2469,1
1,2476,2
3,2476,2
0,2476,3
1,2476,3
2,2476,3
3,2481,0
2,2485,1
3,2485,1
0,2491,3
2,2491,3
3,2495,0
2,2499,1
3,2499,1
1,2507,2
3,2507,2
0,2507,3
1,2507,3
2,2507,3
2,2514,1
3,2514,1
1,2521,2
3,2521,2
0,2521,3
1,2521,3
3,2525,0
2,2529,1
3,2529,1
1,2536,2
0,2536,3
1,2536,3
2,2536,3
2,2544,1
3,2544,1
3,2551,2
0,2551,3
1,2551,3
2,2551,3
0,2560,1
2,2560,1
3,2560,1
1,2566,2
3,2566,2
0,2566,3
1,2566,3
2,2566,3
3,2570,0
0,2574,1
